Estatus,Transacción,Fecha de Transmisión,Proveedor,Tamaño del Archivo (KB),Número de Documentos,Estándar,Versión del Cliente,Tipo de Error,Tiempo de Procesamiento (ms),Canal de Transmisión,Sistema Receptor,Prioridad del Mensaje,Causa de la Falla,Detectado,Reportado por Cliente Final,Sistema Transmisor,multa,retrabajo (hrs)
Éxito,856,2025-11-24,10749,442.74,65.0,EDIFACT,ECC6.0,Sin respuesta,1606.59,AS2,SAP,Media,Documento parcialmente transmitido,Sí,Sí,EPICOR,0.0,0.0
Falla,810,2025-02-27,5172,585.29,86.0,X12,S4HANA,Error de autenticación,2123.87,API,Legacy,Alta,Falta un campo mandatorio,No,Sí,SEEBURGER,258.0,4.3
Éxito,862,2025-01-13,10111,451.8,66.0,EDIFACT,R/3,Timeout,1639.47,API,WEBEDI,Baja,Mal encoding,No,Sí,LEGACY,0.0,0.0
Éxito,856,2025-05-21,8871,444.04,65.0,EDIFACT,,Error de autenticación,1611.31,SFTP,VAN,Alta,Documento parcialmente transmitido,No,Sí,VAN,0.0,0.0
Éxito,830,2025-04-25,26702,376.54,55.0,EDIFACT,R/3,Timeout,1366.37,AS2,SAP,Alta,Formato no soportado,No,Sí,SEEBURGER,0.0,0.0
Falla,810,2025-03-13,31017,578.17,85.0,EDIFACT,ECC6.0,Sin respuesta,2098.03,AS2,SAP,Media,Duplicado,No,Sí,SIMTEL,255.0,4.25
Éxito,830,2025-12-13,27955,565.82,83.0,EDIFACT,410,Desincronización de reloj,2053.21,API,Legacy,Media,Error de autenticación,No,Sí,EPICOR,0.0,0.0
Falla,830,2025-10-07,19829,769.18,112.0,X12,410,,2791.16,AS2,Legacy,Alta,Falta un campo mandatorio,No,Sí,EPICOR,300.0,5.6
Falla,862,2025-02-14,4430,605.7,89.0,X12,410,Timeout,2197.93,API,Legacy,Baja,Formato no soportado,Sí,Sí,EPICOR,267.0,4.45
Falla,830,2025-10-30,12460,633.81,93.0,X12,ECC6.0,Error de autenticación,2299.93,SFTP,VAN,Baja,Formato no soportado,No,Sí,SIMTEL,279.0,4.65
Éxito,850,2025-08-05,4884,490.39,72.0,X12,410,Formato inválido,1779.5,AS2,SAP,Baja,Error de autenticación,Sí,Sí,SAP,0.0,0.0
Éxito,830,2025-01-16,21425,524.87,77.0,EDIFACT,ECC6.0,Desincronización de reloj,1904.62,API,SAP,Media,Fallo en unidades de medida,Sí,Sí,EPICOR,0.0,0.0
