Estatus,Transacción,Fecha de Transmisión,Proveedor,Tamaño del Archivo (KB),Número de Documentos,Estándar,Versión del Cliente,Tipo de Error,Tiempo de Procesamiento (ms),Canal de Transmisión,Sistema Receptor,Prioridad del Mensaje,Causa de la Falla,Detectado,Reportado por Cliente Final,Sistema Transmisor
Falla,856,2025-11-24,10749,442.74,34.0,EDIFACT,ECC6.0,Sin respuesta,1210.57,AS2,SAP,Media,Documento parcialmente transmitido,Sí,Sí,EPICOR
Éxito,810,2025-02-27,5172,585.29,32.0,X12,S4HANA,Error de autenticación,1359.6,API,Legacy,Alta,Falta un campo mandatorio,No,Sí,SEEBURGER
Falla,862,2025-01-13,10111,451.8,44.0,EDIFACT,R/3,Timeout,1114.57,API,WEBEDI,Baja,Mal encoding,No,Sí,LEGACY
Falla,856,2025-05-21,8871,444.04,23.0,EDIFACT,410,Error de autenticación,1697.54,SFTP,VAN,Alta,Documento parcialmente transmitido,No,Sí,VAN
Falla,830,2025-05-06,20483,,10.0,EDIFACT,S4HANA,Formato inválido,1415.0,API,Legacy,Baja,Fallo en unidades de medida,Sí,Sí,LEGACY
Éxito,830,2025-04-25,26702,376.54,8.0,EDIFACT,R/3,Timeout,947.77,AS2,SAP,Alta,Formato no soportado,No,Sí,SEEBURGER
Falla,810,2025-03-13,31017,578.17,21.0,EDIFACT,ECC6.0,Sin respuesta,1526.37,AS2,SAP,Media,Duplicado,No,Sí,SIMTEL
Falla,830,2025-02-22,13523,319.36,,X12,,Sin respuesta,1154.0,API,SAP,Media,Error de autenticación,Sí,No,SIMTEL
Falla,830,2025-12-13,27955,565.82,12.0,EDIFACT,410,Desincronización de reloj,1177.91,API,Legacy,Media,Error de autenticación,No,Sí,EPICOR
Éxito,830,2025-10-07,19829,769.18,49.0,X12,410,,1776.12,AS2,Legacy,Alta,Falta un campo mandatorio,No,Sí,EPICOR
Falla,862,2025-02-14,4430,605.7,39.0,X12,410,Timeout,601.76,API,Legacy,Baja,Formato no soportado,Sí,Sí,EPICOR
Falla,830,2025-10-30,12460,633.81,47.0,X12,ECC6.0,Error de autenticación,1458.11,SFTP,VAN,Baja,Formato no soportado,No,Sí,SIMTEL
Falla,850,2025-08-05,4884,490.39,19.0,X12,410,Formato inválido,996.37,AS2,SAP,Baja,Error de autenticación,Sí,Sí,SAP
Falla,856,2025-01-17,33164,,34.0,EDIFACT,410,Formato inválido,1279.61,API,Legacy,Alta,Mal encoding,No,Sí,SIMTEL
Éxito,830,2025-01-16,21425,524.87,38.0,EDIFACT,ECC6.0,Desincronización de reloj,729.43,API,SAP,Media,Fallo en unidades de medida,Sí,Sí,EPICOR
Falla,830,2025-02-17,18278,702.6,34.0,X12,S4HANA,Timeout,1430.68,API,SAP,Alta,Fallo en unidades de medida,No,Sí,SEEBURGER
Éxito,830,2025-04-22,28933,389.34,46.0,X12,,Timeout,1335.41,AS2,Legacy,Media,Falta un campo mandatorio,Sí,No,SIMTEL
Éxito,850,2025-04-30,12612,618.75,26.0,EDIFACT,SAP PI,Error de autenticación,1535.82,AS2,VAN,Alta,Documento parcialmente transmitido,Sí,Sí,SEEBURGER
Éxito,830,2025-09-16,17071,542.77,40.0,X12,,Desincronización de reloj,1631.38,AS2,VAN,Media,Falta un campo mandatorio,No,Sí,SAP
Falla,830,2025-11-05,8511,408.72,16.0,X12,ECC6.0,Sin respuesta,1386.36,AS2,Legacy,Baja,Fallo en unidades de medida,No,Sí,LEGACY
Éxito,856,2025-01-14,28695,472.55,19.0,X12,ECC6.0,Timeout,1093.67,API,SAP,Alta,Mal encoding,Sí,No,VAN
Falla,850,2025-10-15,33400,339.9,29.0,EDIFACT,R/3,Timeout,984.31,OFTP,Legacy,Alta,Duplicado,No,Sí,LEGACY
Éxito,850,2025-04-12,24662,173.52,45.0,EDIFACT,ECC6.0,Timeout,594.07,API,SAP,Baja,Fallo en unidades de medida,Sí,Sí,VAN
Éxito,830,2025-11-29,10324,380.04,38.0,X12,,,1219.82,API,SAP,Baja,Error de autenticación,Sí,Sí,SEEBURGER
Éxito,850,2025-12-26,28933,461.2,36.0,EDIFACT,410,Formato inválido,1100.81,API,Legacy,Alta,Duplicado,Sí,Sí,SIMTEL
Éxito,810,2025-10-07,1822,508.12,21.0,EDIFACT,S4HANA,Sin respuesta,996.95,AS2,VAN,Alta,Duplicado,Sí,No,SIMTEL
